Month,Sex,TL/cm,SL/cm,BW/g,GW/g
Oct,F,12.4,9.7,34.15,0.12
Oct,F,12.5,10.2,35.91,0.08
Oct,F,12.6,10.3,37.8,0.13
Oct,F,14.6,11.9,54.8,0.13
Oct,F,13,10.6,37.95,0.04
Oct,F,13.8,10.9,48.82,0.19
Oct,F,16.6,13.5,88.69,0.88
Oct,F,11.9,9.9,31.89,0.08
Oct,F,15,12.3,61.26,0.16
Oct,F,13.9,11.2,46.21,0.18
Oct,F,16.1,12.8,64.9,0.12
Oct,F,13.3,10.3,42.04,0.17
Oct,F,15.9,12.9,74.65,0.13
Oct,F,20.1,15.6,130.95,0.32
Oct,F,19.1,15.3,121.02,0.06
Oct,F,21.6,17.5,177.5,0.38
Oct,F,18.6,14.9,110.17,0.25
Oct,F,16.5,13.6,76.95,0.06
Oct,F,23.8,18.6,205.49,0.61
Oct,F,19.1,15.7,131.64,0.98
Oct,F,17.9,14.6,94.83,0.19
Oct,F,15.9,13,75.77,0.16
Oct,F,19.9,15.4,130.68,0.59
Oct,F,15.9,12.1,67.1,0.14
Oct,F,13.9,10.9,45.68,0.02
Oct,F,16.9,13.7,87.57,2.02
Oct,F,18.9,15.5,130.92,1.85
Oct,F,16.1,12.6,79.93,0.13
Oct,F,12.5,9.9,33.78,0.16
Oct,F,12.6,10.2,37.14,0.12
Oct,F,14.8,11.8,55.01,0.22
Oct,F,16.6,13,77.13,0.18
Oct,F,15,12.1,54.12,2.06
Oct,F,11.5,9.4,24.68,0.03
Oct,F,17.6,14.4,111.77,0.77
Oct,F,15.9,12.6,79,0.15
Oct,F,13.7,10.6,50.46,0.06
Oct,F,1340,10.7,42.4,0.02
Oct,F,15.8,12.3,70.9,0.08
Oct,F,13.6,10.6,41.37,0.16
Oct,F,15.1,12.2,66.02,0.17
Oct,F,11.7,9.4,29.57,0.08
Oct,F,12.6,9.9,36.01,0.06
Oct,F,13.6,10.6,44.47,0.04
Oct,F,17.5,13.5,87.8,0.14
Oct,F,14.6,12,58.06,0.12
Oct,F,17.1,13.8,88.46,0.55
Oct,F,17.1,13.6,97.55,0.31
Oct,F,11.4,9.2,27.96,0.08
Oct,F,10.9,8.9,27.69,0.07
Oct,F,11.4,9.6,29.45,1.2
Oct,F,13,10.5,39.52,0.15
Oct,F,14.9,11.8,59.57,0.16
Oct,F,16.4,13.3,79.22,0.11
Oct,F,12.4,9.6,32.95,0.18
Oct,F,13,10.3,42.17,0.06
Oct,F,12.6,10.2,35.68,0.1
Oct,F,13.9,11.2,47.09,0.02
Oct,F,12.6,10.2,41.92,0.02
Oct,F,12.1,9.7,35.88,0.06
Oct,F,14.4,11.5,54.01,0.06
Oct,F,12.9,10.6,39.4,0.17
Oct,F,13.1,10.7,41.44,0.15
Oct,F,12.6,9.4,35.26,0.07
Oct,M,11.2,8.4,26.91,0.02
Oct,M,17.3,13.5,87.35,0.02
Oct,M,12.3,9.7,32.41,0.02
Oct,M,18.6,14.6,115.08,0.02
Oct,M,13.5,10.8,48.3,0.04
Oct,M,12.9,10.5,40.63,0.05
Oct,M,17.3,13.8,85.44,0.02
Oct,M,16.4,13.6,79.59,0.02
Oct,M,12.5,10.2,40.27,0.02
Oct,M,11.2,8.9,25.59,0.02
Oct,M,11.9,9.8,30.06,0.02
Oct,M,20.1,16.1,131.07,0.65
Oct,M,15.1,12.4,61.68,0.03
Oct,M,18.1,13.7,94.5,0.02
Oct,M,12,9.6,30.77,0.01
Oct,M,17.6,14.5,100.68,0.04
Oct,M,14.9,12.3,60.37,0.01
Oct,M,13.2,10.7,46.3,0.01
Oct,M,19.8,15.4,127.41,0.04
Oct,M,20.4,16.6,123.91,0.3
Oct,M,19.7,15.5,133.73,0.02
Oct,M,15.6,12.7,73.94,0.02
Oct,M,17.1,14.6,86.58,0.01
Oct,M,18.1,14.6,110.48,0.04
Oct,M,17.2,14.3,100.57,0.02
Oct,M,18.2,14.6,99.1,0.07
Oct,M,17.6,13.6,86.82,0.02
Oct,M,14.5,11.6,48.68,0.01
Oct,M,20,16.1,149.05,0.05
Oct,M,15,12.3,55.72,0.02
Oct,M,12.6,10.2,36.06,0.02
Oct,M,16,12,56.85,0.02
Oct,M,15,11.5,64.06,0.01
Oct,M,15.8,12.9,70.64,0.02
